GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,104,0,11,0,22,0,10,0,4,0
parking-system,com.parkit.parkingsystem.service,ParkingService,279,0,17,0,80,0,17,0,8,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,25,0,0,0,8,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,47,15,8,0,13,6,11,2,7,2
parking-system,com.parkit.parkingsystem.model,Ticket,21,24,0,0,9,10,6,7,6,7
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,52,0,4,0,16,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,243,0,6,0,60,0,9,0,6,0
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,107,0,4,0,29,0,6,0,4,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,60,0,6,0,26,0,9,0,6,0
